0,addBlock
1,batch
2,moveBlock
3,pressStart
4,removeBlock
5,selectSprite
6,selectTab
7,setBlockPosition
8,setField
9,setSpritePosition
10,startScript
11,stopAllScripts
12,tableDialog
13,togglePause
14,addVariable
15,deleteVariable
16,toggleBoolean
17,toggleDraggable
18,toggleVariableWatcher
19,toggleWatcher
20,graphDialog
21,addSprite
22,addCustomBlock
23,updateBlockLabel
24,removeSprite
25,setConceptLevel
26,renameSprite
27,setRotationStyle
